Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Centro,Fanta,2020,7,2108,3708650.04,2830541.62
Sucursal Centro,Sprite,2020,7,7316,12895659.49,9935719.51
Sucursal Centro,7 Up,2020,7,951,1472996.54,1002953.95
Sucursal Centro,Pepsi,2020,7,7400,13270424.43,8380898.56
Sucursal Sur,Coca Cola,2020,7,10051,19630796.42,13535532.05
Sucursal Sur,Fanta,2020,7,2169,3725253.27,2437454.79
Sucursal Sur,Sprite,2020,7,7604,15522451.08,9962953.56
Sucursal Sur,7 Up,2020,7,1018,1485521.97,918865.56
Sucursal Sur,Pepsi,2020,7,7699,12506997.89,9827751.76
Sucursal Norte,Coca Cola,2020,8,9079,19752682.89,14268711.8
Sucursal Norte,Fanta,2020,8,1822,3156545.72,2434748.95
Sucursal Norte,Sprite,2020,8,7381,15008394.07,11819775.21
Sucursal Norte,7 Up,2020,8,939,1498382.58,923529.84
Sucursal Norte,Pepsi,2020,8,8667,15014358.05,9285239.93
Sucursal Centro,Coca Cola,2020,8,9528,19595867.29,14415569.02
Sucursal Centro,Fanta,2020,8,2012,3463553.82,2612806.85
Sucursal Centro,Sprite,2020,8,7560,14740395.46,9424549.99
Sucursal Centro,7 Up,2020,8,947,1312785.04,888640.59
Sucursal Centro,Pepsi,2020,8,7328,13094863.35,9151271.43
Sucursal Sur,Coca Cola,2020,8,9087,19569899.56,13483500.4
Sucursal Sur,Fanta,2020,8,2183,3569486.7,2625271.84
Sucursal Sur,Sprite,2020,8,8241,14637683.32,10202473.91
Sucursal Sur,7 Up,2020,8,1019,1481674.17,1173341.83
Sucursal Sur,Pepsi,2020,8,8636,13599677.52,8353326.89
Sucursal Norte,Coca Cola,2020,9,10983,24040352.77,16049542.04
Sucursal Norte,Fanta,2020,9,1836,3263367.31,2108284.73
Sucursal Norte,Sprite,2020,9,7405,14760365.42,10661924.26
Sucursal Norte,7 Up,2020,9,948,1512463.22,1090823.98
Sucursal Norte,Pepsi,2020,9,7879,13191222.18,7948587.94
Sucursal Centro,Coca Cola,2020,9,10941,21897740.56,13406940.21
Sucursal Centro,Fanta,2020,9,1854,3193941.62,2383896.79
Sucursal Centro,Sprite,2020,9,7418,15376051.31,9290384.17
Sucursal Centro,7 Up,2020,9,916,1347533.25,813979.41
Sucursal Centro,Pepsi,2020,9,7953,12395429.38,9432953.99
Sucursal Sur,Coca Cola,2020,9,9474,20376438.59,13569582.1
Sucursal Sur,Fanta,2020,9,2038,3640320.16,2646569.51
Sucursal Sur,Sprite,2020,9,7845,16165002.74,10641828.67
Sucursal Sur,7 Up,2020,9,1081,1672927.68,1210065.12
Sucursal Sur,Pepsi,2020,9,7330,13126774.81,8131992.34
Sucursal Norte,Coca Cola,2020,10,10856,22965253.97,17663403.53
Sucursal Norte,Fanta,2020,10,2076,3554612.98,2513193.19
Sucursal Norte,Sprite,2020,10,8797,15398451.1,10204109.77
Sucursal Norte,7 Up,2020,10,906,1393187.38,847773.11
Sucursal Norte,Pepsi,2020,10,7689,14342062.21,10588900.62
Sucursal Centro,Coca Cola,2020,10,10436,21323765.9,15083177.74
Sucursal Centro,Fanta,2020,10,1949,3794990.34,2991159.71
Sucursal Centro,Sprite,2020,10,8733,17390209.02,12498566.3
Sucursal Centro,7 Up,2020,10,1042,1638656.95,1274984.29
Sucursal Centro,Pepsi,2020,10,8302,12889153.43,10285558.85
Sucursal Sur,Coca Cola,2020,10,9312,18648516.35,13336488.66
Sucursal Sur,Fanta,2020,10,2090,3563296.82,2665237.92
Sucursal Sur,Sprite,2020,10,8765,18239589.14,11154042.37
Sucursal Sur,7 Up,2020,10,992,1347283.5,1003136.25
Sucursal Sur,Pepsi,2020,10,7736,12765130.65,9291009.56
Sucursal Norte,Coca Cola,2020,11,9653,19471978.51,13616470.01
Sucursal Norte,Fanta,2020,11,1822,3471675.2,2314555.92
Sucursal Norte,Sprite,2020,11,7878,14637316.33,9243008.81
Sucursal Norte,7 Up,2020,11,984,1431085.26,1086103.23
Sucursal Norte,Pepsi,2020,11,7668,11753554.06,8020512.15
Sucursal Centro,Coca Cola,2020,11,9831,20315677.45,15574384.14
Sucursal Centro,Fanta,2020,11,2077,3396079.25,2710216.96
Sucursal Centro,Sprite,2020,11,8080,15566782.38,11376325.44
Sucursal Centro,7 Up,2020,11,952,1351611.31,1001668.01
Sucursal Centro,Pepsi,2020,11,8731,14399900.61,9789972.63
Sucursal Sur,Coca Cola,2020,11,9110,19456872.19,12509012.76
Sucursal Sur,Fanta,2020,11,2043,3938322.71,2679518.47
Sucursal Sur,Sprite,2020,11,8143,15973038.31,12072911.02
Sucursal Sur,7 Up,2020,11,1008,1590737.11,1123085.64
Sucursal Sur,Pepsi,2020,11,7380,13327115.9,8651357.99
Sucursal Norte,Coca Cola,2020,12,9905,18381894.38,11055512.43
Sucursal Norte,Fanta,2020,12,1973,3729361.78,2910826.85
Sucursal Norte,Sprite,2020,12,8790,18245657.66,12954755.77
Sucursal Norte,7 Up,2020,12,967,1535030.4,1015598.1
Sucursal Norte,Pepsi,2020,12,7636,12162030.76,8783657.17
Sucursal Centro,Coca Cola,2020,12,9399,16948630.09,11055470.13
Sucursal Centro,Fanta,2020,12,1845,3359836.13,2324479.32
Sucursal Centro,Sprite,2020,12,7850,14248952.65,10077613.67
Sucursal Centro,7 Up,2020,12,946,1300538.35,959132.01
Sucursal Centro,Pepsi,2020,12,8015,13636385.42,10901134.6
Sucursal Sur,Coca Cola,2020,12,9973,20257478.33,13505564.88
Sucursal Sur,Fanta,2020,12,1823,3259421.53,1987062.69
Sucursal Sur,Sprite,2020,12,7309,15026983.73,11286453.98
Sucursal Sur,7 Up,2020,12,1044,1553127.34,1230569.61
Sucursal Sur,Pepsi,2020,12,8753,15885107.06,9697420.29
Sucursal Norte,Coca Cola,2021,1,11910,28260359.71,18909647.41
Sucursal Norte,Fanta,2021,1,1551,2277417.32,1746584.4
Sucursal Norte,Sprite,2021,1,6740,14109762.6,10754174.81
Sucursal Norte,7 Up,2021,1,1565,2267911.52,1538011.53
Sucursal Norte,Pepsi,2021,1,8383,16401977.54,12593934.8
Sucursal Centro,Coca Cola,2021,1,10993,31225943.58,23705955.59
Sucursal Centro,Fanta,2021,1,1690,2652333.84,2023046.69
Sucursal Centro,Sprite,2021,1,6482,14737094.5,8852983.53
Sucursal Centro,7 Up,2021,1,1379,2135371.32,1360854.86
Sucursal Centro,Pepsi,2021,1,7678,16245670.44,11566290.99
Sucursal Sur,Coca Cola,2021,1,10842,26306621.67,17639807.84
Sucursal Sur,Fanta,2021,1,1674,2243385.37,1346821.36
Sucursal Sur,Sprite,2021,1,7435,16225435.1,10211461.51
Sucursal Sur,7 Up,2021,1,1493,2445257.18,1835378.46
Sucursal Sur,Pepsi,2021,1,7434,14955182.38,11827141.87
Sucursal Norte,Coca Cola,2021,2,10286,24269585.66,18024673.81
Sucursal Norte,Fanta,2021,2,1684,2531186.22,1927925.26
Sucursal Norte,Sprite,2021,2,7836,17054626.57,13609850.16
Sucursal Norte,7 Up,2021,2,1464,2362441.24,1740375.47
Sucursal Norte,Pepsi,2021,2,7584,16441741.8,10535232.53
Sucursal Centro,Coca Cola,2021,2,12086,34528697.28,21556317.14
Sucursal Centro,Fanta,2021,2,1623,2478847.64,1581784.59
Sucursal Centro,Sprite,2021,2,7079,14228925.38,10917084.3
Sucursal Centro,7 Up,2021,2,1486,2009475.25,1600429.08
Sucursal Centro,Pepsi,2021,2,7642,15302779.9,10641503.87
Sucursal Sur,Coca Cola,2021,2,11907,31867799.79,20757042.2
Sucursal Sur,Fanta,2021,2,1580,2270757.48,1728419.23
Sucursal Sur,Sprite,2021,2,6712,14369143.07,9160334.03
Sucursal Sur,7 Up,2021,2,1623,2496934.54,1600425.13
Sucursal Sur,Pepsi,2021,2,8420,16273400.83,11872932.9
Sucursal Norte,Coca Cola,2021,3,9904,26798945.64,19371870.1
Sucursal Norte,Fanta,2021,3,1681,2233690.77,1671583.0
Sucursal Norte,Sprite,2021,3,6862,15543313.72,12212606.3
Sucursal Norte,7 Up,2021,3,1434,2244670.51,1614421.15
Sucursal Norte,Pepsi,2021,3,8086,15964594.39,11731873.73
Sucursal Centro,Coca Cola,2021,3,10442,27481480.29,21826644.34
Sucursal Centro,Fanta,2021,3,1511,2290455.96,1414907.06
Sucursal Centro,Sprite,2021,3,6742,13489172.26,10402131.36
Sucursal Centro,7 Up,2021,3,1369,2228388.4,1348415.59
Sucursal Centro,Pepsi,2021,3,7883,15381864.93,9461899.24
Sucursal Sur,Coca Cola,2021,3,11473,32706958.05,20153641.23
Sucursal Sur,Fanta,2021,3,1550,2017552.2,1381593.24
Sucursal Sur,Sprite,2021,3,6677,14957186.49,11432328.23
Sucursal Sur,7 Up,2021,3,1561,2485835.05,1921353.59
Sucursal Sur,Pepsi,2021,3,7999,15956678.91,10728447.51
Sucursal Norte,Coca Cola,2021,4,11278,30253898.36,20399522.58
Sucursal Norte,Fanta,2021,4,1491,2269910.33,1652907.35
Sucursal Norte,Sprite,2021,4,6730,15129674.73,10932225.96
Sucursal Norte,7 Up,2021,4,1354,2176138.35,1603529.42
Sucursal Norte,Pepsi,2021,4,8562,17712332.96,13821216.58
Sucursal Centro,Coca Cola,2021,4,11430,28342626.85,18342925.83
Sucursal Centro,Fanta,2021,4,1667,2209652.02,1759774.07
Sucursal Centro,Sprite,2021,4,6716,12705613.22,8399084.33
Sucursal Centro,7 Up,2021,4,1398,2209686.08,1418736.88
Sucursal Centro,Pepsi,2021,4,7561,16274789.52,12579907.11
Sucursal Sur,Coca Cola,2021,4,10508,27656488.89,20309705.78
Sucursal Sur,Fanta,2021,4,1498,2064153.85,1450306.82
Sucursal Sur,Sprite,2021,4,7521,15297585.08,10002744.96
Sucursal Sur,7 Up,2021,4,1429,2327753.4,1408295.63
Sucursal Sur,Pepsi,2021,4,7850,14735667.1,9579732.14
Sucursal Norte,Coca Cola,2021,5,10049,24289011.28,17489975.43
Sucursal Norte,Fanta,2021,5,1711,2658722.8,2115259.99
Sucursal Norte,Sprite,2021,5,7520,16228461.26,10024297.25
Sucursal Norte,7 Up,2021,5,1591,2362730.59,1542046.78
Sucursal Norte,Pepsi,2021,5,8643,16224432.39,12016602.98
Sucursal Centro,Coca Cola,2021,5,11085,27725407.1,17790147.99
Sucursal Centro,Fanta,2021,5,1508,2142515.82,1558075.19
Sucursal Centro,Sprite,2021,5,7282,14516868.1,9845049.27
Sucursal Centro,7 Up,2021,5,1537,2191503.9,1530700.31
Sucursal Centro,Pepsi,2021,5,8742,18225035.88,14262463.79
Sucursal Sur,Coca Cola,2021,5,10209,28250881.71,19331247.0
Sucursal Sur,Fanta,2021,5,1587,2189936.44,1614040.13
Sucursal Sur,Sprite,2021,5,7265,15221740.33,12133102.5
Sucursal Sur,7 Up,2021,5,1570,2279488.84,1582547.48
Sucursal Sur,Pepsi,2021,5,7750,15725123.36,11882040.8
Sucursal Norte,Coca Cola,2021,6,10691,27110336.46,18278466.08
Sucursal Norte,Fanta,2021,6,1559,2343490.45,1813050.82
Sucursal Norte,Sprite,2021,6,7571,16473325.6,13017532.25
Sucursal Norte,7 Up,2021,6,1514,2067857.87,1547272.16
Sucursal Norte,Pepsi,2021,6,7264,14969251.05,11265271.27
Sucursal Centro,Coca Cola,2021,6,9979,23730071.41,17322034.96
Sucursal Centro,Fanta,2021,6,1687,2669419.05,1952970.21
Sucursal Centro,Sprite,2021,6,7741,16598606.84,10272429.55
Sucursal Centro,7 Up,2021,6,1398,2293340.12,1627954.54
Sucursal Centro,Pepsi,2021,6,7545,16315947.25,10132857.31
Sucursal Sur,Coca Cola,2021,6,10636,30240116.1,20175906.21
Sucursal Sur,Fanta,2021,6,1633,2517739.19,1802557.37
Sucursal Sur,Sprite,2021,6,7905,15869697.92,11599103.55
Sucursal Sur,7 Up,2021,6,1441,2282503.9,1595543.93
Sucursal Sur,Pepsi,2021,6,8259,17847515.44,12022526.07
Sucursal Norte,Coca Cola,2021,7,11985,30638338.68,20109943.0
Sucursal Norte,Fanta,2021,7,1595,2503089.35,1772136.73
Sucursal Norte,Sprite,2021,7,6530,14360505.85,9451166.76
Sucursal Norte,7 Up,2021,7,1378,2067822.8,1242866.28
Sucursal Norte,Pepsi,2021,7,8020,17146675.11,13597933.29
Sucursal Centro,Coca Cola,2021,7,10271,26333174.97,15884023.89
Sucursal Centro,Fanta,2021,7,1520,2250338.0,1350948.62
Sucursal Centro,Sprite,2021,7,7058,14708290.99,10903752.79
Sucursal Centro,7 Up,2021,7,1561,2396706.2,1587130.37
Sucursal Centro,Pepsi,2021,7,8612,17738640.9,11652494.71
Sucursal Sur,Coca Cola,2021,7,10838,28292068.54,19407403.68
Sucursal Sur,Fanta,2021,7,1498,2281094.37,1629127.25
Sucursal Sur,Sprite,2021,7,7707,15647965.41,10963397.87
Sucursal Sur,7 Up,2021,7,1514,2072623.77,1615566.1
Sucursal Sur,Pepsi,2021,7,7790,16085678.63,9964281.64
Sucursal Norte,Coca Cola,2021,8,11673,28836856.92,18887876.21
Sucursal Norte,Fanta,2021,8,1494,2135081.68,1318254.75
Sucursal Norte,Sprite,2021,8,7171,14161122.62,10751555.31
Sucursal Norte,7 Up,2021,8,1469,2203552.86,1735554.76
Sucursal Norte,Pepsi,2021,8,7754,15758385.71,10220670.81
Sucursal Centro,Coca Cola,2021,8,11430,31278209.34,23897029.18
Sucursal Centro,Fanta,2021,8,1519,1988887.36,1349216.36
Sucursal Centro,Sprite,2021,8,7584,16342356.98,13071812.49
Sucursal Centro,7 Up,2021,8,1593,2627809.59,1885452.33
Sucursal Centro,Pepsi,2021,8,7335,13629375.42,8674547.6
Sucursal Sur,Coca Cola,2021,8,11087,29877765.44,20245004.45
Sucursal Sur,Fanta,2021,8,1678,2542014.53,1692682.0
Sucursal Sur,Sprite,2021,8,6698,13847539.99,9490528.6
Sucursal Sur,7 Up,2021,8,1587,2213407.3,1744172.38
Sucursal Sur,Pepsi,2021,8,8736,16817711.47,13430674.36
Sucursal Norte,Coca Cola,2021,9,10320,28208641.28,22198665.14
Sucursal Norte,Fanta,2021,9,1659,2439453.02,1705440.43
Sucursal Norte,Sprite,2021,9,6801,12849482.15,8652856.94
Sucursal Norte,7 Up,2021,9,1537,2229125.43,1392243.61
Sucursal Norte,Pepsi,2021,9,8195,16296152.33,12810999.41
Sucursal Centro,Coca Cola,2021,9,9989,25275247.66,19507783.61
Sucursal Centro,Fanta,2021,9,1516,2133232.75,1636417.26
Sucursal Centro,Sprite,2021,9,7606,15891595.35,10032636.31
Sucursal Centro,7 Up,2021,9,1389,2273179.01,1399132.3
Sucursal Centro,Pepsi,2021,9,8606,17389694.35,11679777.88
Sucursal Sur,Coca Cola,2021,9,11444,30928989.34,18721410.23
Sucursal Sur,Fanta,2021,9,1441,2243996.57,1611460.85
Sucursal Sur,Sprite,2021,9,7729,15986517.09,11131891.19
Sucursal Sur,7 Up,2021,9,1453,2087380.37,1598970.91
Sucursal Sur,Pepsi,2021,9,8406,18019628.4,11672559.38
Sucursal Norte,Coca Cola,2021,10,10445,29020182.87,17884785.29
Sucursal Norte,Fanta,2021,10,1717,2391695.46,1560655.52
Sucursal Norte,Sprite,2021,10,6545,12432289.26,9241703.65
Sucursal Norte,7 Up,2021,10,1465,2150191.28,1441305.81
Sucursal Norte,Pepsi,2021,10,7824,15867411.28,11187057.18
Sucursal Centro,Coca Cola,2021,10,11931,31113916.63,24801476.96
Sucursal Centro,Fanta,2021,10,1564,2114500.85,1448222.18
Sucursal Centro,Sprite,2021,10,7845,15769917.42,10450100.02
Sucursal Centro,7 Up,2021,10,1389,2219865.95,1530287.96
Sucursal Centro,Pepsi,2021,10,8317,18185856.43,12727958.9
Sucursal Sur,Coca Cola,2021,10,11398,29951476.01,22494430.53
Sucursal Sur,Fanta,2021,10,1507,2289740.11,1697979.58
Sucursal Sur,Sprite,2021,10,6821,14424986.31,10817236.61
Sucursal Sur,7 Up,2021,10,1375,1989534.19,1370860.97
Sucursal Sur,Pepsi,2021,10,8377,15571652.87,11054559.89
Sucursal Norte,Coca Cola,2021,11,10912,26192902.01,17313830.23
Sucursal Norte,Fanta,2021,11,1493,2316368.57,1750862.68
Sucursal Norte,Sprite,2021,11,7137,14381308.37,11321941.7
Sucursal Norte,7 Up,2021,11,1530,2329723.37,1722376.32
Sucursal Norte,Pepsi,2021,11,7406,14117700.12,10588560.87
Sucursal Centro,Coca Cola,2021,11,10402,26973113.94,19902089.07
Sucursal Centro,Fanta,2021,11,1477,2278994.12,1476214.12
Sucursal Centro,Sprite,2021,11,6888,13846220.92,9340372.85
Sucursal Centro,7 Up,2021,11,1623,2502621.94,1646539.01
Sucursal Centro,Pepsi,2021,11,7971,16982414.65,10974978.47
Sucursal Sur,Coca Cola,2021,11,11355,28417958.45,17596925.23
Sucursal Sur,Fanta,2021,11,1598,2092558.27,1410768.86
Sucursal Sur,Sprite,2021,11,7649,14955615.88,9283297.38
Sucursal Sur,7 Up,2021,11,1518,2328296.75,1481131.02
Sucursal Sur,Pepsi,2021,11,7291,14653391.17,9940316.06
Sucursal Norte,Coca Cola,2021,12,11832,32559603.81,23293254.56
Sucursal Norte,Fanta,2021,12,1505,2115333.11,1311930.09
Sucursal Norte,Sprite,2021,12,6849,13761111.94,9106726.63
Sucursal Norte,7 Up,2021,12,1503,2373320.86,1565659.05
Sucursal Norte,Pepsi,2021,12,8607,17742930.66,11434630.06
Sucursal Centro,Coca Cola,2021,12,11601,30757715.13,22402500.47
Sucursal Centro,Fanta,2021,12,1542,2308744.93,1504898.03
Sucursal Centro,Sprite,2021,12,6684,14393262.5,9882612.41
Sucursal Centro,7 Up,2021,12,1589,2220958.73,1335272.04
Sucursal Centro,Pepsi,2021,12,7421,14408874.76,10064163.56
Sucursal Sur,Coca Cola,2021,12,11430,27585970.17,17235217.04
Sucursal Sur,Fanta,2021,12,1565,2052399.73,1534859.74
Sucursal Sur,Sprite,2021,12,7244,15589242.78,9716013.4
Sucursal Sur,7 Up,2021,12,1547,2219933.84,1351833.33
Sucursal Sur,Pepsi,2021,12,7963,15825984.3,9689907.77
Sucursal Norte,Coca Cola,2022,1,11472,37552916.02,26780249.19
Sucursal Norte,Fanta,2022,1,1398,1619055.32,1213471.91
Sucursal Norte,Sprite,2022,1,5927,14802996.18,11035897.99
Sucursal Norte,7 Up,2022,1,2188,2994398.54,1839372.92
Sucursal Norte,Pepsi,2022,1,8634,19820592.18,13770893.16
Sucursal Centro,Coca Cola,2022,1,12621,41961118.09,27736917.57
Sucursal Centro,Fanta,2022,1,1302,1568875.0,1156984.51
Sucursal Centro,Sprite,2022,1,6582,14252894.77,11136211.91
Sucursal Centro,7 Up,2022,1,2048,3321547.1,2147992.61
Sucursal Centro,Pepsi,2022,1,7311,17883797.73,13230970.39
Sucursal Sur,Coca Cola,2022,1,13087,41062929.85,28227513.27
Sucursal Sur,Fanta,2022,1,1176,1278708.63,801547.52
Sucursal Sur,Sprite,2022,1,6989,16518112.61,11884005.64
Sucursal Sur,7 Up,2022,1,2067,2900680.43,2176936.93
Sucursal Sur,Pepsi,2022,1,8289,19581359.21,12111038.1
Sucursal Norte,Coca Cola,2022,2,11075,35267483.32,22613283.61
Sucursal Norte,Fanta,2022,2,1182,1406143.62,970094.67
Sucursal Norte,Sprite,2022,2,6028,14687579.85,11163506.26
Sucursal Norte,7 Up,2022,2,2437,3304714.7,2091358.44
Sucursal Norte,Pepsi,2022,2,7918,20104565.09,12248960.94
Sucursal Centro,Coca Cola,2022,2,11699,40777608.55,29471825.1
Sucursal Centro,Fanta,2022,2,1282,1507256.66,1194271.88
Sucursal Centro,Sprite,2022,2,5837,13228093.2,8806157.3
Sucursal Centro,7 Up,2022,2,2050,3174361.61,2210587.01
Sucursal Centro,Pepsi,2022,2,8201,20315418.27,16249967.38
Sucursal Sur,Coca Cola,2022,2,11154,39714729.52,30661266.51
Sucursal Sur,Fanta,2022,2,1188,1248582.79,873447.51
Sucursal Sur,Sprite,2022,2,6274,14317690.7,9660417.05
Sucursal Sur,7 Up,2022,2,2224,3594655.88,2534360.55
Sucursal Sur,Pepsi,2022,2,8548,22758863.3,17654564.28
Sucursal Norte,Coca Cola,2022,3,13253,48093991.78,36674190.66
Sucursal Norte,Fanta,2022,3,1241,1326614.31,933674.96
Sucursal Norte,Sprite,2022,3,6190,14403682.0,9770622.72
Sucursal Norte,7 Up,2022,3,2037,2830002.92,2142543.19
Sucursal Norte,Pepsi,2022,3,8430,22382390.58,14017711.43
Sucursal Centro,Coca Cola,2022,3,13148,45310157.23,33148030.73
Sucursal Centro,Fanta,2022,3,1336,1442930.58,1115866.27
Sucursal Centro,Sprite,2022,3,6392,15105316.43,9182099.69
Sucursal Centro,7 Up,2022,3,2096,2973393.22,1927358.15
Sucursal Centro,Pepsi,2022,3,8226,20928287.7,12824987.97
Sucursal Sur,Coca Cola,2022,3,11228,36836421.94,27318814.61
Sucursal Sur,Fanta,2022,3,1270,1526980.55,994627.44
Sucursal Sur,Sprite,2022,3,5973,14565993.06,9263859.54
